dataset,hardware,vmaf_version,clip,complexity,codec,profile,encoder_kind,rung,resolution_p,target_kbps,achieved_kbps,vmaf,wh_per_min,delta_w_watts,n,confidence,source_file,notes
clean_iso_bitrate_sweep_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,cpu,cpu,sweep,1080,1500,1480.6,92.57,0.6052,67.24,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_baseline,gpu,sweep,1080,1500,1561.3,88.13,0.1271,55.26,5,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_tuned,gpu,sweep,1080,1500,1524.3,88.73,0.3594,45.08,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,cpu,cpu,sweep,1080,2500,2464.3,93.83,0.676,69.53,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_baseline,gpu,sweep,1080,2500,2554.7,91.15,0.1271,55.79,5,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_tuned,gpu,sweep,1080,2500,2494.1,91.87,0.3612,45.46,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,cpu,cpu,sweep,1080,3500,3450.3,94.44,0.7184,68.06,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_baseline,gpu,sweep,1080,3500,3538.8,93.03,0.1269,55.71,5,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_tuned,gpu,sweep,1080,3500,3493.2,92.8,0.3708,46.67,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,cpu,cpu,sweep,1080,5000,4925.9,95.0,0.7464,63.98,1,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
