dataset,hardware,vmaf_version,clip,complexity,codec,profile,encoder_kind,rung,resolution_p,target_kbps,achieved_kbps,vmaf,wh_per_min,delta_w_watts,n,confidence,source_file,notes
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,cpu,cpu,sweep,1080,3000,3346.3,88.46,0.3041,68.99,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,gpu_baseline,gpu,sweep,1080,3000,3031.4,85.95,0.1338,65.66,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,gpu_tuned,gpu,sweep,1080,3000,3010.6,84.82,0.2155,52.66,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,cpu,cpu,sweep,1080,4500,5081.9,91.48,0.3159,68.78,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,gpu_baseline,gpu,sweep,1080,4500,4535.2,89.66,0.1405,68.67,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,gpu_tuned,gpu,sweep,1080,4500,4497.9,89.03,0.2158,52.5,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,cpu,cpu,sweep,1080,6000,6875.9,93.1,0.3347,70.34,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,gpu_baseline,gpu,sweep,1080,6000,6042.5,91.51,0.1385,67.99,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,gpu_tuned,gpu,sweep,1080,6000,5985.2,91.12,0.2255,54.84,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,cpu,cpu,sweep,1080,8000,9357.3,94.41,0.3522,70.97,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,gpu_baseline,gpu,sweep,1080,8000,8033.5,92.81,0.1437,70.52,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,gpu_tuned,gpu,sweep,1080,8000,7977.4,92.52,0.2196,53.42,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,cpu,cpu,sweep,1080,11000,13056.0,95.62,0.3637,70.13,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,gpu_baseline,gpu,sweep,1080,11000,11037.0,93.89,0.1395,67.58,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h264,gpu_tuned,gpu,sweep,1080,11000,10987.9,93.67,0.2229,53.49,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,cpu,cpu,sweep,1080,1500,1697.7,85.18,0.5704,69.61,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,gpu_baseline,gpu,sweep,1080,1500,1447.8,80.15,0.1445,65.58,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,gpu_tuned,gpu,sweep,1080,1500,1509.7,82.13,0.3962,49.18,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,cpu,cpu,sweep,1080,2500,2866.6,89.83,0.6213,71.01,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,gpu_baseline,gpu,sweep,1080,2500,2356.0,86.51,0.147,66.14,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,gpu_tuned,gpu,sweep,1080,2500,2419.6,87.6,0.3877,48.3,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
