dataset,hardware,vmaf_version,clip,complexity,codec,profile,encoder_kind,rung,resolution_p,target_kbps,achieved_kbps,vmaf,wh_per_min,delta_w_watts,n,confidence,source_file,notes
clean_abr_ladder_typical_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,cpu,cpu,ladder,480,1100,1111.3,75.64,0.3184,68.78,3,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,gpu_baseline,gpu,ladder,480,1100,1110.3,73.29,0.1605,48.35,4,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,cpu,cpu,ladder,360,800,808.8,78.64,0.3028,68.99,3,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,gpu_baseline,gpu,ladder,360,800,809.1,75.12,0.166,49.8,4,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h265,cpu,cpu,ladder,720,1700,1729.5,82.34,0.6938,69.96,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h265,gpu_baseline,gpu,ladder,720,1700,1709.8,79.42,0.1691,50.72,4,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h265,cpu,cpu,ladder,540,950,965.7,76.02,0.5344,69.2,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h265,gpu_baseline,gpu,ladder,540,950,953.8,72.42,0.1673,50.41,4,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h265,cpu,cpu,ladder,480,650,660.6,69.54,0.4599,67.86,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h265,gpu_baseline,gpu,ladder,480,650,658.4,65.42,0.1683,50.5,4,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
